Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Republic of Moldova,2005,,,,7.1627,"2,988",719,4.1593,184.159,394.469,130.35
Rwanda,2001,,,,5.6661,,,,,,
Rwanda,2017,,,,3.2057,"9,136",748,11.981,"2,540.37",610.972,80.773
Saint Kitts and Nevis,2005,,,,3.8599,543,"11,178",0.0486,6.35,3.939,
Saint Kitts and Nevis,2007,,,,4.2889,,,,,,
Saint Lucia,2005,,,,5.0605,935,"5,714",0.1634,23.573,13.597,2.197
Saint Lucia,2006,,,,5.2521,,,,,,
Samoa,2008,,,,5.1442,,,,,,
Sao Tome and Principe,2005,,,,5.2951,126,811,0.1575,30.468,8.091,
Sao Tome and Principe,2010,,,,9.6515,197,"1,130",0.1804,34.116,10.097,0.766
Sao Tome and Principe,2017,,,,4.8571,393,"1,921",0.2071,37.172,25.875,
Saudi Arabia,2005,,,,5.4309,"328,461","13,740",23.8162,"3,097.60","2,609.57",603.771
Saudi Arabia,2008,,,,5.1378,,,,,,
Senegal,2017,,,,6.1956,"21,126","1,333",15.4194,"2,128.69","1,082.33",162.635
Sierra Leone,2005,,,,2.797,"1,650",292,5.6456,,,
Singapore,2005,,,,3.2197,"127,418","28,372",4.2657,,,
Solomon Islands,2010,,,,9.8606,720,"1,363",0.5279,95.379,39.706,
State of Palestine,2010,,,,6.7255,"8,913","2,192",4.0556,402.866,710.936,196.625
State of Palestine,2017,,,,5.2523,"14,498","2,946",4.7472,477.204,752.552,218.276
Sudan,2005,,,,1.5631,,,30.9495,"3,176.82","1,344.32",363.953
Sudan,2009,,,,2.2187,,,,,,
Uganda,2017,,,,2.641,"27,699",646,41.1666,"8,840.59",,
Uzbekistan,2017,,,,6.4134,"49,677","1,557",31.9598,"2,391.49","3,892.89",281.451
Vanuatu,2003,,,,8.4417,,,,,,
Yemen,2001,,,,9.2447,,,,,,
Yemen,2008,,,,5.1514,,,,,,
Zambia,2008,,,,1.0997,,,,,,
"Total, all countries or areas",1985,,,,,"13,518,851","2,776",,,,
"Total, all countries or areas",1995,,,,,"31,084,222","5,406",,,,
"Total, all countries or areas",2005,,,,,"47,550,129","7,270",6541.907,"678,991.61","509,245.76","139,950.88"
"Total, all countries or areas",2010,,,,,"66,145,612","9,508",6956.8236,"697,048.83","546,102.43","182,209.18"
"Total, all countries or areas",2015,,,,,"74,757,288","10,128",,"720,228.45","583,315.56","217,458.98"
"Total, all countries or areas",2016,,,,,"75,840,177","10,159",,,,
"Total, all countries or areas",2017,,,,,"80,501,414","10,665",7547.8589,"746,284.92","590,725.24","220,704.24"
Africa,1985,,,,,"517,301",937,,,,
Africa,1995,,,,,"582,440",807,,,,
Africa,2005,,,,,"1,128,718","1,222",916.1543,,,
Africa,2010,,,,,"1,966,483","1,877",1039.304,,,
Africa,2015,,,,,"2,293,977","1,923",,,,
Africa,2016,,,,,"2,138,916","1,748",,,,
Africa,2017,,,,,"2,215,906","1,766",1244.2223,,,
Northern Africa,1985,,,,,"142,523","1,103",,,,
Northern Africa,1995,,,,,"207,392","1,270",,,,
Northern Africa,2005,,,,,"373,106","1,908",186.4213,"23,022.99","16,908.91","4,585.89"
Northern Africa,2010,,,,,"648,507","3,182",202.9403,"23,597.68","17,398.83","5,514.78"
Northern Africa,2015,,,,,"728,806","3,245",,"25,786.65","18,901.99","6,352.53"
Northern Africa,2016,,,,,"682,558","2,983",,,,
Northern Africa,2017,,,,,"657,861","2,823",232.7932,"27,431.26","19,606.90","6,620.90"
Sub-Saharan Africa,1985,,,,,"374,778",886,,,,
Sub-Saharan Africa,1995,,,,,"375,048",671,,,,
Sub-Saharan Africa,2005,,,,,"755,612","1,038",729.733,"113,401.83","32,017.73","4,073.95"
Sub-Saharan Africa,2010,,,,,"1,317,975","1,561",836.3638,"135,890.70","44,918.95","5,863.28"
Sub-Saharan Africa,2015,,,,,"1,565,171","1,617",,"156,751.70","57,117.17","7,719.75"
Sub-Saharan Africa,2016,,,,,"1,456,357","1,464",,,,
Sub-Saharan Africa,2017,,,,,"1,558,044","1,525",1011.4291,"164,725.55","59,298.27","8,034.06"
Eastern Africa,1985,,,,,"64,114",388,,,,
Eastern Africa,1995,,,,,"67,938",309,,,,
Eastern Africa,2005,,,,,"111,482",382,295.1854,,,
Eastern Africa,2010,,,,,"214,641",620,339.3178,,,
Eastern Africa,2015,,,,,"315,078",791,,,,
Eastern Africa,2016,,,,,"321,275",785,,,,
Eastern Africa,2017,,,,,"350,941",834,411.3967,,,
Middle Africa,1985,,,,,"35,267",572,,,,
Middle Africa,1995,,,,,"36,081",429,,,,
Middle Africa,2005,,,,,"99,548",889,112.0083,,,
Middle Africa,2010,,,,,"189,045","1,439",131.6221,,,
Middle Africa,2015,,,,,"237,337","1,544",,,,
Middle Africa,2016,,,,,"222,542","1,403",,,,
Middle Africa,2017,,,,,"250,577","1,533",164.039,,,
Southern Africa,1985,,,,,"62,927","1,645",,,,
Southern Africa,1995,,,,,"168,964","3,518",,,,
Southern Africa,2005,,,,,"279,562","5,013",54.6447,,,
Southern Africa,2010,,,,,"406,242","6,884",58.3834,,,
Southern Africa,2015,,,,,"350,139","5,521",,,,
Southern Africa,2016,,,,,"328,716","5,113",,,,
Southern Africa,2017,,,,,"386,563","5,934",64.8338,,,
Western Africa,1985,,,,,"212,470","1,346",,,,
Western Africa,1995,,,,,"102,064",494,,,,
Western Africa,2005,,,,,"265,020",987,267.8946,,,
Western Africa,2010,,,,,"508,048","1,651",307.0404,,,
Western Africa,2015,,,,,"662,617","1,879",,,,
Western Africa,2016,,,,,"583,825","1,612",,,,
Western Africa,2017,,,,,"569,962","1,532",371.1595,,,
Americas,1985,,,,,"5,491,739","8,185",,,,
Americas,1995,,,,,"10,213,265","13,078",,,,
Americas,2005,,,,,"17,070,406","19,223",884.7882,,,
Americas,2010,,,,,"21,951,438","23,370",934.6398,,,
Americas,2015,,,,,"25,261,020","25,590",,,,
Americas,2016,,,,,"25,492,004","25,584",,,,
Americas,2017,,,,,"26,896,468","26,748",998.1754,,,
Northern America,1985,,,,,"4,705,619","17,637",,,,
Northern America,1995,,,,,"8,247,641","27,948",,,,
Northern America,2005,,,,,"14,212,748","43,392",327.2872,"26,780.10","27,038.62","18,631.44"
Northern America,2010,,,,,"16,613,872","48,447",343.2874,"26,565.50","26,808.82","21,859.15"
Northern America,2015,,,,,"19,780,210","55,563",,"27,093.81","27,062.90","21,096.83"
Northern America,2016,,,,,"20,242,949","56,452",,,,
Northern America,2017,,,,,"21,141,574","58,531",361.9423,"27,845.58","27,403.02","20,882.77"
Latin America & the Caribbean,1985,,,,,"786,120","1,945",,,,
Latin America & the Caribbean,1995,,,,,"1,965,625","4,046",,,,
Latin America & the Caribbean,2005,,,,,"2,857,658","5,098",557.501,"69,066.48","58,887.33","16,087.97"
Latin America & the Caribbean,2010,,,,,"5,337,566","8,950",591.3524,"67,190.21","61,100.14","22,054.56"
Latin America & the Caribbean,2015,,,,,"5,480,810","8,684",,"64,579.99","64,042.27","26,216.60"
Latin America & the Caribbean,2016,,,,,"5,249,055","8,230",,,,
Latin America & the Caribbean,2017,,,,,"5,754,894","8,931",636.2331,"64,571.45","64,013.10","27,407.28"
Caribbean,1985,,,,,"69,195","2,222",,,,
Caribbean,1995,,,,,"119,686","3,369",,,,
Caribbean,2005,,,,,"221,390","5,654",39.7458,,,
Caribbean,2010,,,,,"288,896","7,089",41.2174,,,
Caribbean,2015,,,,,"341,075","8,055",,,,
Caribbean,2016,,,,,"346,934","8,137",,,,
Caribbean,2017,,,,,"354,606","8,262",43.0024,,,
Central America,1985,,,,,"258,698","2,496",,,,
Central America,1995,,,,,"412,184","3,250",,,,
Central America,2005,,,,,"972,224","6,560",145.9505,,,
Central America,2010,,,,,"1,210,291","7,538",157.5913,,,
Central America,2015,,,,,"1,401,962","8,121",,,,
Central America,2016,,,,,"1,321,864","7,554",,,,
Central America,2017,,,,,"1,416,752","7,990",173.3268,,,
South America,1985,,,,,"458,228","1,701",,,,
South America,1995,,,,,"1,433,755","4,433",,,,
South America,2005,,,,,"1,664,043","4,460",371.8047,,,
South America,2010,,,,,"3,838,379","9,716",392.5437,,,
South America,2015,,,,,"3,737,774","8,981",,,,
South America,2016,,,,,"3,580,257","8,521",,,,
South America,2017,,,,,"3,983,536","9,393",419.9039,,,
Asia,1985,,,,,"2,880,324","1,010",,,,
Asia,1995,,,,,"9,195,635","2,636",,,,
Asia,2005,,,,,"12,338,718","3,113",3977.9865,,,
Asia,2010,,,,,"20,892,982","4,982",4209.5937,,,
Asia,2015,,,,,"26,598,242","6,018",,,,
Asia,2016,,,,,"27,563,610","6,177",,,,
Asia,2017,,,,,"29,477,988","6,545",4519.04,,,
Central Asia,1995,,,,,"38,937",729,,,,
Central Asia,2005,,,,,"90,468","1,540",58.4499,,,
Central Asia,2010,,,,,"220,593","3,493",62.8051,,,
Central Asia,2015,,,,,"301,877","4,394",,,,
Central Asia,2016,,,,,"254,659","3,649",,,,
Central Asia,2017,,,,,"261,710","3,694",70.8675,,,
Eastern Asia,1985,,,,,"1,922,987","1,506",,,,
Eastern Asia,1995,,,,,"7,177,176","4,904",,,,
Eastern Asia,2005,,,,,"8,524,913","5,483",1564.1923,"126,355.44","115,225.88","28,737.29"
Eastern Asia,2010,,,,,"13,619,284","8,535",1604.8594,"113,593.28","113,534.49","39,209.04"
Eastern Asia,2015,,,,,"17,750,809","10,857",,"107,283.57","99,600.04","51,555.19"
Eastern Asia,2016,,,,,"18,479,876","11,256",,,,
Eastern Asia,2017,,,,,"19,634,506","11,914",1659.768,"111,861.53","96,499.70","52,223.45"
South-eastern Asia,1985,,,,,"243,805",609,,,,
South-eastern Asia,1995,,,,,"703,488","1,449",,,,
South-eastern Asia,2005,,,,,"958,893","1,707",561.1561,"68,305.26","40,839.43","11,323.37"
South-eastern Asia,2010,,,,,"1,980,866","3,316",596.9472,"68,389.97","45,569.87","14,474.67"
South-eastern Asia,2015,,,,,"2,460,015","3,876",,"68,743.78","51,423.68","18,072.14"
South-eastern Asia,2016,,,,,"2,574,987","4,012",,,,
South-eastern Asia,2017,,,,,"2,767,984","4,266",648.4597,"68,524.83","52,096.13","18,724.35"
Southern Asia,1985,,,,,"370,097",349,,,,
Southern Asia,1995,,,,,"616,292",467,,,,
Southern Asia,2005,,,,,"1,270,195",802,1588.6239,"181,475.94","120,738.96","16,055.23"
Southern Asia,2010,,,,,"2,542,992","1,491",1712.5555,"191,840.19","143,371.07","28,469.66"
Southern Asia,2015,,,,,"3,128,656","1,716",,"195,876.09","170,483.39","41,919.80"
Southern Asia,2016,,,,,"3,323,136","1,800",,,,
Southern Asia,2017,,,,,"3,726,063","1,994",1873.2411,"204,901.72","175,185.50","42,157.67"
Western Asia,1985,,,,,"343,435","2,967",,,,
Western Asia,1995,,,,,"659,741","3,959",,,,
Western Asia,2005,,,,,"1,494,249","7,273",205.5643,"24,169.03","19,700.34","5,184.12"
Western Asia,2010,,,,,"2,529,247","10,881",232.4265,"25,424.53","22,390.83","7,514.19"
Western Asia,2015,,,,,"2,956,885","11,469",,"26,701.07","25,328.43","11,219.01"
Western Asia,2016,,,,,"2,930,952","11,161",,,,
Western Asia,2017,,,,,"3,087,724","11,550",266.7037,"27,087.04","25,859.39","11,881.36"
Europe,1985,,,,,"4,415,032","5,732",,,,
Europe,1995,,,,,"10,619,622","14,557",,,,
Europe,2005,,,,,"16,112,496","22,012",729.2878,"38,462.96","65,271.02","32,142.02"
Europe,2010,,,,,"19,854,417","26,868",736.413,"36,749.01","58,628.57","33,676.21"
Europe,2015,,,,,"19,133,917","25,763",,"38,484.91","57,461.69","29,644.97"
Europe,2016,,,,,"19,107,907","25,705",,,,
Europe,2017,,,,,"20,253,103","27,222",745.4147,"39,680.67","58,803.38","29,099.89"
Eastern Europe,1985,,,,,"1,124,317","3,023",,,,
Eastern Europe,1995,,,,,"789,180","2,549",,,,
Eastern Europe,2005,,,,,"1,628,697","5,474",297.5005,,,
Eastern Europe,2010,,,,,"2,863,393","9,722",294.8729,,,
Eastern Europe,2015,,,,,"2,625,765","8,954",,,,
Eastern Europe,2016,,,,,"2,556,626","8,729",,,,
Eastern Europe,2017,,,,,"2,999,690","10,257",294.0561,,,
Northern Europe,1985,,,,,"810,121","9,783",,,,
Northern Europe,1995,,,,,"2,164,279","23,267",,,,
Northern Europe,2005,,,,,"3,977,645","41,391",96.3074,,,
Northern Europe,2010,,,,,"4,256,951","42,559",100.3983,,,
Northern Europe,2015,,,,,"4,715,832","45,873",,,,
Northern Europe,2016,,,,,"4,510,787","43,648",,,,
Northern Europe,2017,,,,,"4,608,254","44,352",104.6765,,,
Southern Europe,1985,,,,,"783,494","5,514",,,,
Southern Europe,1995,,,,,"2,120,827","14,667",,,,
Southern Europe,2005,,,,,"3,606,052","23,983",149.6761,,,
Southern Europe,2010,,,,,"4,304,395","27,967",153.0155,,,
Southern Europe,2015,,,,,"3,620,250","23,754",,,,
Southern Europe,2016,,,,,"3,691,053","24,261",,,,
Southern Europe,2017,,,,,"3,873,340","25,490",152.7964,,,
Western Europe,1985,,,,,"1,697,100","9,784",,,,
Western Europe,1995,,,,,"5,545,336","30,415",,,,
Western Europe,2005,,,,,"6,900,101","36,699",185.8038,,,
Western Europe,2010,,,,,"8,429,679","44,254",188.1263,,,
Western Europe,2015,,,,,"8,172,070","42,072",,,,
Western Europe,2016,,,,,"8,349,442","42,823",,,,
Western Europe,2017,,,,,"8,771,820","44,828",193.8858,,,
Oceania,1985,,,,,"214,454","8,673",,,,
Oceania,1995,,,,,"473,260","16,369",,,,
Oceania,2005,,,,,"899,792","27,046",33.6902,"3,141.61","3,575.04","1,642.73"
Oceania,2010,,,,,"1,480,293","40,723",36.8731,"3,556.16","3,776.48","2,013.95"
Oceania,2015,,,,,"1,470,130","37,450",,"4,100.58","3,913.41","2,206.83"
Oceania,2016,,,,,"1,537,740","38,608",,,,
Oceania,2017,,,,,"1,657,949","41,037",41.0065,"4,259.03","3,947.00","2,223.44"
Australia and New Zealand,1985,,,,,"206,320","10,860",,,,
Australia and New Zealand,1995,,,,,"454,246","20,883",,,,
Australia and New Zealand,2005,,,,,"875,117","35,903",24.3139,,,
Australia and New Zealand,2010,,,,,"1,443,843","54,505",26.5247,,,
Australia and New Zealand,2015,,,,,"1,424,009","50,116",,,,
Australia and New Zealand,2016,,,,,"1,492,274","51,839",,,,
Australia and New Zealand,2017,,,,,"1,610,720","55,244",29.2867,,,
Melanesia,1985,,,,,"5,971","1,179",,,,
Melanesia,1995,,,,,"13,533","2,118",,,,
Melanesia,2005,,,,,"17,353","2,156",8.2321,,,
Melanesia,2010,,,,,"28,167","3,135",9.1879,,,
Melanesia,2015,,,,,"38,317","3,857",,,,
Melanesia,2016,,,,,"37,435","3,697",,,,
Melanesia,2017,,,,,"38,850","3,764",10.5142,,,
Micronesia,1985,,,,,257,"1,222",,,,
Micronesia,1995,,,,,544,"2,066",,,,
Micronesia,2005,,,,,718,"2,560",0.4983,,,
Micronesia,2010,,,,,863,"2,983",0.5036,,,
Micronesia,2015,,,,,"1,046","3,461",,,,
Micronesia,2016,,,,,"1,112","3,643",,,,
Micronesia,2017,,,,,"1,139","3,695",0.5329,,,
Polynesia,1985,,,,,"1,906","4,184",,,,
Polynesia,1995,,,,,"4,937","9,689",,,,
Polynesia,2005,,,,,"6,603","11,674",0.6459,,,
Polynesia,2010,,,,,"7,420","12,636",0.6568,,,
Polynesia,2015,,,,,"6,758","11,148",,,,
Polynesia,2016,,,,,"6,919","11,325",,,,
Polynesia,2017,,,,,"7,241","11,754",0.6728,,,
Afghanistan,1985,,,,,"3,322",282,,,,
Afghanistan,1995,,,,,"3,236",189,,,,
Afghanistan,2005,,,,,"6,622",264,25.6543,"4,318.82",651.453,
Afghanistan,2016,,,,,"20,235",584,,,,
Albania,1985,,,,,"2,324",783,,,,
Albania,1995,,,,,"2,393",770,,,,
Albania,2010,,,,,"11,927","4,056",2.948,224.781,355.871,122.326
Albania,2017,,,,,"13,039","4,450",2.8842,174.836,280.378,139.607
Algeria,1985,,,,,"57,866","2,564",,,,
Algeria,1995,,,,,"41,971","1,452",,,,
Algeria,2005,,,,,"103,198","3,100",33.1497,"4,361.74","3,654.23",792.121
Algeria,2010,,,,,"161,207","4,463",35.9775,"3,312.44","4,616.23","1,144.27"
Algeria,2015,,,,,"165,979","4,163",,"3,925.43",,"1,289.47"
Algeria,2016,,,,,"160,130","3,943",,,,
Algeria,2017,,,,,"167,555","4,055",41.3892,"4,283.21",,"1,545.52"
Andorra,1985,,,,,439,"9,837",,,,
Andorra,1995,,,,,"1,491","23,359",,,,
Andorra,2015,,,,,"2,812","36,040",,4.164,4.395,0.501
Andorra,2016,,,,,"2,877","37,230",0.0773,,,
Angola,1985,,,,,"9,109",859,,,,
Angola,1995,,,,,"6,642",466,,,,
Angola,2015,,,,,"116,194","4,171",,"5,620.92",,221.037
Angola,2016,,,,,"101,124","3,510",,,"2,034.15",253.287
Angola,2017,,,,,"126,506","4,247",29.8168,,,
Anguilla,1985,,,,,27,"4,072",,,,
Anguilla,1995,,,,,104,"10,583",,,,
Anguilla,2010,,,,,268,"19,459",0.0138,1.62,1.045,
Anguilla,2015,,,,,331,"22,622",,,,
Anguilla,2016,,,,,317,"21,480",,,,
Anguilla,2017,,,,,281,"18,861",0.0149,,,
Antigua and Barbuda,1985,,,,,245,"3,508",,,,
Antigua and Barbuda,1995,,,,,577,"7,841",,,,
Antigua and Barbuda,2005,,,,,"1,022","11,453",0.0815,,,
Antigua and Barbuda,2010,,,,,"1,152","12,175",0.088,11.254,8.436,1.17
Antigua and Barbuda,2015,,,,,"1,359","13,602",,10.077,8.048,
Antigua and Barbuda,2016,,,,,"1,465","14,507",,,,
Antigua and Barbuda,2017,,,,,"1,510","14,803",0.0954,9.946,7.839,
Argentina,1985,,,,,"95,530","3,144",,,,
Argentina,1995,,,,,"279,701","7,993",,,,
Argentina,2015,,,,,"644,903","14,853",,"4,784.45","4,501.73","2,966.13"
Argentina,2017,,,,,"637,486","14,400",43.9371,,,
Armenia,1995,,,,,"1,372",426,,,,
Armenia,2015,,,,,"10,553","3,618",,144.549,240.291,105.865
Armenia,2017,,,,,"11,537","3,937",2.9448,152.134,,104.838
Aruba,1985,,,,,385,"6,108",,,,
Aruba,1995,,,,,"1,321","16,442",,,,
Aruba,2015,,,,,"2,692","25,796",,,,1.166
Aruba,2017,,,,,"2,701","25,655",0.1054,,,
Australia,1985,,,,,"182,212","11,584",,,,
Australia,1995,,,,,"391,094","21,635",,,,
Australia,2016,,,,,"1,304,420","54,067",,,,
Australia,2017,,,,,"1,408,676","57,613",24.5846,"2,216.78","2,650.49","1,774.85"
Austria,1985,,,,,"69,388","9,112",,,,
Austria,1995,,,,,"241,054","30,169",,,,
Austria,2016,,,,,"394,053","45,230",,,,
Austria,2017,,,,,"416,836","47,718",8.8199,334.9332,687.3618,430.3704
Azerbaijan,1995,,,,,"3,081",396,,,,
Azerbaijan,2015,,,,,"53,076","5,519",,551.118,,204.152
Azerbaijan,2017,,,,,"40,749","4,146",9.8453,607.391,,206.196
Bahamas,1985,,,,,"2,880","12,271",,,,
Bahamas,1995,,,,,"5,117","18,264",,,,
Bahamas,2005,,,,,"9,836","29,875",0.3249,37.05,32.089,
Bahamas,2010,,,,,"10,096","27,979",0.3549,33.977,34.406,
Bahamas,2015,,,,,"11,240","29,056",,,,
Bahamas,2016,,,,,"11,262","28,786",,30.655,28.384,
Bahamas,2017,,,,,"11,792","29,825",0.3818,,,
Bahrain,1985,,,,,"4,475","10,669",,,,
Bahrain,1995,,,,,"6,787","12,040",,,,
Bahrain,2005,,,,,"15,969","17,959",0.8892,83.299,71.645,18.841
Bahrain,2010,,,,,"25,713","20,722",1.2409,,79.919,
Bahrain,2016,,,,,"32,228","22,614",,,,
Bangladesh,1985,,,,,"19,169",206,,,,
Bangladesh,1995,,,,,"37,866",319,,,,
Bangladesh,2005,,,,,"57,628",402,139.0355,"16,219.48","10,109.40",911.6
Bangladesh,2010,,,,,"114,508",753,147.5754,"16,987.11","11,334.06",
Bangladesh,2015,,,,,"194,466","1,206",,,"14,566.77",
Bangladesh,2017,,,,,"245,633","1,492",159.6854,"17,251.35","15,314.76","2,763.25"
Barbados,1985,,,,,"1,425","5,569",,,,
Barbados,1995,,,,,"2,275","8,585",,,,
Barbados,2015,,,,,"4,463","15,704",,20.909,20.554,
Belarus,1995,,,,,"14,324","1,412",,,,
Belarus,2015,,,,,"56,455","5,952",,387.051,644.153,477.221
Belarus,2016,,,,,"47,724","5,034",,,,
Belgium,1985,,,,,"86,728","8,746",,,,
Belgium,1995,,,,,"289,571","28,427",,,,
Belgium,2016,,,,,"469,739","41,356",,797.39,"1,196.38",508.27
Belgium,2017,,,,,"494,764","43,289",11.4197,,,
Belize,1985,,,,,209,"1,268",,,,
Belize,1995,,,,,587,"2,834",,,,
Belize,2005,,,,,"1,114","3,933",0.2838,50.247,29.185,4.571
Belize,2015,,,,,"1,779","4,950",,52.072,37.856,8.562
Belize,2016,,,,,"1,820","4,960",,,,
Benin,1985,,,,,"1,130",264,,,,
Benin,1995,,,,,"2,345",397,,,,
Benin,2017,,,,,"9,236",826,11.1752,"2,251.56",,
Bermuda,1985,,,,,"1,428","24,241",,,,
Bermuda,1995,,,,,"2,557","40,780",,,,
Bermuda,2016,,,,,"6,093","98,809",,,,
Bhutan,1985,,,,,172,369,,,,
Bhutan,1995,,,,,289,562,,,,
Bhutan,2016,,,,,"2,213","2,774",,,,
Bolivia (Plurin. State of),1985,,,,,"4,122",664,,,,
Bolivia (Plurin. State of),1995,,,,,"6,715",887,,,,
Bolivia (Plurin. State of),2005,,,,,"9,549","1,046",9.2323,"1,512.68","1,038.20",
Bolivia (Plurin. State of),2015,,,,,"33,000","3,077",,"1,344.47","1,153.38",
Bolivia (Plurin. State of),2016,,,,,"33,941","3,117",,,,
Bolivia (Plurin. State of),2017,,,,,"37,509","3,394",11.1929,"1,368.99","1,236.95",
Bosnia and Herzegovina,1995,,,,,"2,034",529,,,,
Bosnia and Herzegovina,2005,,,,,"11,223","2,968",3.7653,,,84.422
Bosnia and Herzegovina,2010,,,,,"17,176","4,615",3.7055,175.271,322.766,105.137
Bosnia and Herzegovina,2015,,,,,"16,210","4,584",,162.629,278.071,108.475
Bosnia and Herzegovina,2016,,,,,"16,911","4,809",,,,
Bosnia and Herzegovina,2017,,,,,"18,169","5,181",3.3515,161.483,253.07,102.232
Botswana,1985,,,,,838,704,,,,
Botswana,1995,,,,,"4,731","3,015",,,,
Botswana,2010,,,,,"12,787","6,346",1.9871,,,42.366
Botswana,2015,,,,,"14,421","6,528",,,,60.583
Botswana,2016,,,,,"15,649","6,954",,,,
Botswana,2017,,,,,"17,407","7,596",2.2051,,,49.444
Brazil,1985,,,,,"187,460","1,382",,,,
Brazil,1995,,,,,"778,053","4,794",,,,
Brazil,2016,,,,,"1,792,800","8,634",,"16,118.57","23,538.07","8,319.09"
Brazil,2017,,,,,"2,055,512","9,821",207.8338,,,
British Virgin Islands,1985,,,,,45,"3,396",,,,
British Virgin Islands,1995,,,,,389,"21,114",,,,
British Virgin Islands,2016,,,,,971,"31,677",,3.309,2.034,0.834
Brunei Darussalam,1985,,,,,"4,425","19,712",,,,
Brunei Darussalam,1995,,,,,"5,245","17,650",,,,
Brunei Darussalam,2005,,,,,"10,561","28,923",0.3651,46.012,43.9,5.023
Brunei Darussalam,2015,,,,,"12,930","30,968",,40.397,47.249,10.866
Brunei Darussalam,2017,,,,,"12,128","28,291",0.4245,39.61,44.464,11.593
Bulgaria,1985,,,,,"16,486","1,837",,,,
Bulgaria,1995,,,,,"14,433","1,723",,,,
Bulgaria,2015,,,,,"50,201","6,994",,261.793,501.398,278.953
Bulgaria,2016,,,,,"53,240","7,465",,261.969,487.087,266.707
Bulgaria,2017,,,,,"58,222","8,218",7.1024,,,
Burkina Faso,1985,,,,,"1,569",203,,,,
Burkina Faso,1995,,,,,"2,404",238,,,,
Burkina Faso,2016,,,,,"10,864",583,,,,
Burkina Faso,2017,,,,,"12,325",642,19.1932,"3,040.80","1,162.30",105.404
Burundi,1985,,,,,"1,171",249,,,,
Burundi,1995,,,,,"1,000",168,,,,
Burundi,2015,,,,,"2,811",276,,"2,072.41",664.243,
Burundi,2016,,,,,"2,916",277,,,,
Cabo Verde,1985,,,,,157,497,,,,
Cabo Verde,1995,,,,,558,"1,434",,,,
Cabo Verde,2005,,,,,"1,105","2,329",0.463,82.985,52.671,3.91
Cabo Verde,2015,,,,,"1,596","2,995",,65.58,58.657,12.538
Cambodia,1985,,,,,"1,059",137,,,,
Cambodia,1995,,,,,"3,309",311,,,,
Cambodia,2005,,,,,"6,293",474,13.2734,"2,695.37",,56.81
Cambodia,2015,,,,,"18,050","1,163",,"2,178.92",,217.364
Cambodia,2016,,,,,"20,017","1,270",,,,
Cambodia,2017,,,,,"22,121","1,382",16.0094,"2,111.63",,207.603
Cameroon,1985,,,,,"9,597",955,,,,
Cameroon,1995,,,,,"9,641",716,,,,
Cameroon,2015,,,,,"30,905","1,353",,"4,369.99","2,108.28",371.568
Cameroon,2016,,,,,"32,618","1,392",,"4,481.24","2,206.88",417.169
Canada,1985,,,,,"364,761","14,098",,,,
Canada,1995,,,,,"604,014","20,594",,,,
Canada,2015,,,,,"1,552,523","43,186",,"2,303.96","2,641.68","1,564.13"
Canada,2016,,,,,"1,526,954","42,077",,"2,318.91","2,640.93","1,593.38"
Canada,2017,,,,,"1,647,120","44,974",36.7321,,,
Cayman Islands,1985,,,,,416,"21,544",,,,
Cayman Islands,1995,,,,,"1,296","40,930",,,,
Cayman Islands,2010,,,,,"3,267","58,859",0.0555,,,
Cayman Islands,2015,,,,,"3,753","62,592",0.06,,,
Cayman Islands,2016,,,,,"3,900","64,179",,,,
Cayman Islands,2017,,,,,"4,030","65,472",0.0616,,,
Central African Republic,1985,,,,,905,344,,,,
Central African Republic,1995,,,,,"1,167",348,,,,
Central African Republic,2015,,,,,"1,632",359,,,,
Central African Republic,2016,,,,,"1,810",394,,813.767,118.883,
Central African Republic,2017,,,,,"1,993",428,4.596,,137.844,
Chad,1985,,,,,987,194,,,,
Chad,1995,,,,,"1,643",235,,,,
Chad,2015,,,,,"11,733",838,,"2,270.10",513.248,
Chad,2016,,,,,"10,953",758,,"2,213.22",535.112,
Chad,2017,,,,,"10,717",719,15.0168,,,
Chile,1985,,,,,"18,985","1,559",,,,
Chile,1995,,,,,"75,099","5,253",,,,
Chile,2015,,,,,"243,999","13,737",,"1,477.54","1,546.32","1,221.77"
Chile,2017,,,,,"277,081","15,347",18.4704,"1,514.76","1,520.72","1,238.99"
China,1985,,,,,"309,839",289,,,,
China,1995,,,,,"734,485",592,,,,
China,2005,,,,,"2,285,960","1,730",1330.7764,,,"20,601.22"
China,2010,,,,,"6,100,648","4,487",1368.8106,"101,018.62","99,218.08","31,046.74"
China,2015,,,,,"11,064,687","7,920",,"95,958.04","86,127.20","43,367.39"
China,2016,,,,,"11,191,030","7,974",,,,
China,2017,,,,,"12,237,782","8,682",1421.0218,"100,321.03","83,407.93","44,127.51"
"China, Hong Kong SAR",1985,,,,,"35,700","6,688",,,,
"China, Hong Kong SAR",1995,,,,,"144,652","23,559",,,,
"China, Hong Kong SAR",2015,,,,,"309,386","42,699",,332.531,393.952,298.6427
"China, Hong Kong SAR",2016,,,,,"320,874","43,938",,,,
